source_id,source_county,jp_district,path,sheet,parser,source_period_start,source_period_end,coverage_geography,notes
travis_jp1,Travis,JP1,"data/Odyssey-JobOutput-May 20, 2026 16-54-45-3728695-1 (1).xlsx",JP_EvictionDefendantsReport,travis_odyssey,2020-01-01,2026-05-15,county_complete,All five Travis JP courts are present across the two Travis exports.
travis_jp2,Travis,JP2,"data/Odyssey-JobOutput-May 20, 2026 16-54-45-3728695-1 (1).xlsx",JP_EvictionDefendantsReport,travis_odyssey,2020-01-01,2026-05-15,county_complete,All five Travis JP courts are present across the two Travis exports.
travis_jp3,Travis,JP3,"data/Odyssey-JobOutput-May 20, 2026 16-54-45-3728695-1 (1).xlsx",JP_EvictionDefendantsReport,travis_odyssey,2020-01-01,2026-05-15,county_complete,All five Travis JP courts are present across the two Travis exports.
travis_jp4,Travis,JP4,data/Alex Karner Eviction Report 1-1-20 to 5-22-26 (1).xlsx,JP_EvictionDefendantsReport,travis_odyssey,2020-01-01,2026-05-21,county_complete,All five Travis JP courts are present across the two Travis exports.
travis_jp5,Travis,JP5,"data/Odyssey-JobOutput-May 20, 2026 16-54-45-3728695-1 (1).xlsx",JP_EvictionDefendantsReport,travis_odyssey,2020-01-01,2026-05-15,county_complete,All five Travis JP courts are present across the two Travis exports.
williamson_jp1,Williamson,JP1,data/raw_williamson_evictions/JP1 evictions 1.1.22 to 5.1.26.xlsx,JP1 evictions,williamson_jp1_continuation,2022-01-01,2026-05-01,jp_boundary,Only JP1 and JP2 were supplied; coverage is assigned with versioned precinct boundaries.
williamson_jp2_2020,Williamson,JP2,data/raw_williamson_evictions/JP2 Evictions 2020.xls,Evictions2,williamson_jp2_report,2020-01-01,2020-12-31,jp_boundary,Annual JP2 export with report header on row 8.
williamson_jp2_2021,Williamson,JP2,data/raw_williamson_evictions/JP2 Evictions 2021.xls,Evictions2,williamson_jp2_report,2021-01-01,2021-12-31,jp_boundary,Annual JP2 export with report header on row 8.
williamson_jp2_2022,Williamson,JP2,data/raw_williamson_evictions/JP2 Evictions 2022.xls,Evictions2,williamson_jp2_report,2022-01-01,2022-12-31,jp_boundary,Annual JP2 export with report header on row 8.
williamson_jp2_2023,Williamson,JP2,data/raw_williamson_evictions/JP2 Evictions 2023.xls,Evictions2,williamson_jp2_report,2023-01-01,2023-12-31,jp_boundary,Annual JP2 export with report header on row 8.
williamson_jp2_2024,Williamson,JP2,data/raw_williamson_evictions/JP2 Evictions 2024.xls,Evictions2,williamson_jp2_report,2024-01-01,2024-12-31,jp_boundary,Annual JP2 export with report header on row 8.
williamson_jp2_2025,Williamson,JP2,data/raw_williamson_evictions/JP2 Evictions 2025.xls,Evictions2,williamson_jp2_report,2025-01-01,2025-12-31,jp_boundary,Annual JP2 export with report header on row 8.
williamson_jp2_2026,Williamson,JP2,data/raw_williamson_evictions/JP2 Evictions 2026.xls,Evictions2,williamson_jp2_report,2026-01-01,2026-08-13,jp_boundary,Partial 2026 JP2 export; labels remain unavailable for the incomplete calendar year.
