hex_id,h3_index,source_county
1,894898c800bffff,Travis
2,894898c800fffff,Travis
3,894898c8013ffff,Travis
4,894898c801bffff,Travis
5,894898c804bffff,Travis
6,894898c804fffff,Travis
7,894898c8063ffff,Travis
8,894898c806bffff,Travis
9,894898c806fffff,Travis
10,894898c8073ffff,Travis
11,894898c8077ffff,Travis
12,894898c807bffff,Travis
13,894898c80c7ffff,Travis
14,894898c80d3ffff,Travis
15,894898c80d7ffff,Travis
16,894898c8203ffff,Travis
17,894898c820fffff,Travis
18,894898c8217ffff,Travis
19,894898c8233ffff,Travis
20,894898c8237ffff,Travis
21,894898c8247ffff,Travis
22,894898c824fffff,Travis
23,894898c8263ffff,Travis
24,894898c8277ffff,Travis
25,894898c827bffff,Travis
26,894898c82a3ffff,Travis
27,894898c82a7ffff,Travis
28,894898c82abffff,Travis
29,894898c82b3ffff,Travis
30,894898c82b7ffff,Travis
31,894898c82bbffff,Travis
32,894898c834bffff,Travis
33,894898c834fffff,Travis
34,894898c83d3ffff,Travis
35,894898c83dbffff,Travis
36,894898c8403ffff,Travis
37,894898c840bffff,Travis
38,894898c8413ffff,Travis
39,894898c841bffff,Travis
40,894898c8447ffff,Travis
41,894898c8457ffff,Travis
42,894898c8463ffff,Travis
43,894898c846bffff,Travis
44,894898c846fffff,Travis
45,894898c847bffff,Travis
46,894898c8483ffff,Travis
47,894898c848bffff,Travis
48,894898c8493ffff,Travis
49,894898c849bffff,Travis
50,894898c84c7ffff,Travis
51,894898c865bffff,Travis
52,894898c9003ffff,Travis
53,894898c9007ffff,Travis
54,894898c900bffff,Travis
55,894898c900fffff,Travis
56,894898c9013ffff,Travis
57,894898c9017ffff,Travis
58,894898c901bffff,Travis
59,894898c9023ffff,Travis
60,894898c9027ffff,Travis
61,894898c902bffff,Travis
62,894898c902fffff,Travis
63,894898c9033ffff,Travis
64,894898c9037ffff,Travis
65,894898c903bffff,Travis
66,894898c9043ffff,Travis
67,894898c9047ffff,Travis
68,894898c904bffff,Travis
69,894898c904fffff,Travis
70,894898c9053ffff,Travis
71,894898c9057ffff,Travis
72,894898c905bffff,Travis
73,894898c9063ffff,Travis
74,894898c9067ffff,Travis
75,894898c906bffff,Travis
76,894898c906fffff,Travis
77,894898c9073ffff,Travis
78,894898c9077ffff,Travis
79,894898c907bffff,Travis
80,894898c9083ffff,Travis
81,894898c9087ffff,Travis
82,894898c908bffff,Travis
83,894898c908fffff,Travis
84,894898c9093ffff,Travis
85,894898c9097ffff,Travis
86,894898c909bffff,Travis
87,894898c90a3ffff,Travis
88,894898c90a7ffff,Travis
89,894898c90abffff,Travis
90,894898c90afffff,Travis
91,894898c90b3ffff,Travis
92,894898c90b7ffff,Travis
93,894898c90bbffff,Travis
94,894898c90c3ffff,Travis
95,894898c90c7ffff,Travis
96,894898c90cbffff,Travis
97,894898c90cfffff,Travis
98,894898c90d3ffff,Travis
99,894898c90d7ffff,Travis
100,894898c90dbffff,Travis
101,894898c911bffff,Travis
102,894898c9143ffff,Travis
103,894898c914bffff,Travis
104,894898c914fffff,Travis
105,894898c9153ffff,Travis
106,894898c9157ffff,Travis
107,894898c915bffff,Travis
108,894898c91b3ffff,Travis
109,894898c91c3ffff,Travis
110,894898c91c7ffff,Travis
111,894898c91cbffff,Travis
112,894898c91cfffff,Travis
113,894898c91d3ffff,Travis
114,894898c91d7ffff,Travis
115,894898c91dbffff,Travis
116,894898c9203ffff,Travis
117,894898c9207ffff,Travis
118,894898c920bffff,Travis
119,894898c920fffff,Travis
120,894898c9213ffff,Travis
121,894898c9217ffff,Travis
122,894898c921bffff,Travis
123,894898c9223ffff,Travis
124,894898c9227ffff,Travis
125,894898c922bffff,Travis
126,894898c922fffff,Travis
127,894898c9233ffff,Travis
128,894898c9237ffff,Travis
129,894898c923bffff,Travis
130,894898c9243ffff,Travis
131,894898c9247ffff,Travis
132,894898c924bffff,Travis
133,894898c924fffff,Travis
134,894898c9253ffff,Travis
135,894898c9257ffff,Travis
136,894898c925bffff,Travis
137,894898c9263ffff,Travis
138,894898c9267ffff,Travis
139,894898c926bffff,Travis
140,894898c926fffff,Travis
141,894898c9273ffff,Travis
142,894898c9277ffff,Travis
143,894898c927bffff,Travis
144,894898c9283ffff,Travis
145,894898c9287ffff,Travis
146,894898c928bffff,Travis
147,894898c928fffff,Travis
148,894898c9293ffff,Travis
149,894898c9297ffff,Travis
150,894898c929bffff,Travis
151,894898c92a3ffff,Travis
152,894898c92a7ffff,Travis
153,894898c92abffff,Travis
154,894898c92afffff,Travis
155,894898c92b3ffff,Travis
156,894898c92b7ffff,Travis
157,894898c92bbffff,Travis
158,894898c92c3ffff,Travis
159,894898c92c7ffff,Travis
160,894898c92cbffff,Travis
161,894898c92cfffff,Travis
162,894898c92d3ffff,Travis
163,894898c92d7ffff,Travis
164,894898c92dbffff,Travis
165,894898c9303ffff,Travis
166,894898c9307ffff,Travis
167,894898c930bffff,Travis
168,894898c930fffff,Travis
169,894898c9313ffff,Travis
170,894898c9317ffff,Travis
171,894898c931bffff,Travis
172,894898c9323ffff,Travis
173,894898c9327ffff,Travis
174,894898c932bffff,Travis
175,894898c932fffff,Travis
176,894898c9333ffff,Travis
177,894898c9337ffff,Travis
178,894898c933bffff,Travis
179,894898c9343ffff,Travis
180,894898c9347ffff,Travis
181,894898c934bffff,Travis
182,894898c934fffff,Travis
183,894898c9353ffff,Travis
184,894898c9357ffff,Travis
185,894898c935bffff,Travis
186,894898c9363ffff,Travis
187,894898c9367ffff,Travis
188,894898c936bffff,Travis
189,894898c936fffff,Travis
190,894898c9373ffff,Travis
191,894898c9377ffff,Travis
192,894898c937bffff,Travis
193,894898c9383ffff,Travis
194,894898c9387ffff,Travis
195,894898c938bffff,Travis
196,894898c938fffff,Travis
197,894898c9393ffff,Travis
198,894898c9397ffff,Travis
199,894898c939bffff,Travis
200,894898c93a3ffff,Travis
201,894898c93a7ffff,Travis
202,894898c93abffff,Travis
203,894898c93afffff,Travis
204,894898c93b3ffff,Travis
205,894898c93bbffff,Travis
206,894898c93c3ffff,Travis
207,894898c93c7ffff,Travis
208,894898c93cbffff,Travis
209,894898c93cfffff,Travis
210,894898c93d3ffff,Travis
211,894898c93d7ffff,Travis
212,894898c93dbffff,Travis
213,894898c9403ffff,Travis
214,894898c9407ffff,Travis
215,894898c940fffff,Travis
216,894898c9413ffff,Travis
217,894898c9417ffff,Travis
218,894898c941bffff,Travis
219,894898c9423ffff,Travis
220,894898c9427ffff,Travis
221,894898c942bffff,Travis
222,894898c942fffff,Travis
223,894898c9433ffff,Travis
224,894898c9437ffff,Travis
225,894898c943bffff,Travis
226,894898c9443ffff,Travis
227,894898c944bffff,Travis
228,894898c944fffff,Travis
229,894898c9453ffff,Travis
230,894898c9457ffff,Travis
231,894898c945bffff,Travis
232,894898c9463ffff,Travis
233,894898c9467ffff,Travis
234,894898c946bffff,Travis
235,894898c946fffff,Travis
236,894898c9477ffff,Travis
237,894898c947bffff,Travis
238,894898c9487ffff,Travis
239,894898c948bffff,Travis
240,894898c948fffff,Travis
241,894898c9497ffff,Travis
242,894898c949bffff,Travis
243,894898c94a3ffff,Travis
244,894898c94a7ffff,Travis
245,894898c94abffff,Travis
246,894898c94afffff,Travis
247,894898c94b3ffff,Travis
248,894898c94b7ffff,Travis
249,894898c94bbffff,Travis
250,894898c94c3ffff,Travis
251,894898c94c7ffff,Travis
252,894898c94cbffff,Travis
253,894898c94cfffff,Travis
254,894898c94d3ffff,Travis
255,894898c94d7ffff,Travis
256,894898c94dbffff,Travis
257,894898c9503ffff,Travis
258,894898c9507ffff,Travis
259,894898c950bffff,Travis
260,894898c950fffff,Travis
261,894898c9513ffff,Travis
262,894898c9517ffff,Travis
263,894898c951bffff,Travis
264,894898c953bffff,Travis
265,894898c9543ffff,Travis
266,894898c9547ffff,Travis
267,894898c954bffff,Travis
268,894898c954fffff,Travis
269,894898c9553ffff,Travis
270,894898c9557ffff,Travis
271,894898c955bffff,Travis
272,894898c9563ffff,Travis
273,894898c9567ffff,Travis
274,894898c956bffff,Travis
275,894898c956fffff,Travis
276,894898c9573ffff,Travis
277,894898c9577ffff,Travis
278,894898c957bffff,Travis
279,894898c9583ffff,Travis
280,894898c9587ffff,Travis
281,894898c958bffff,Travis
282,894898c958fffff,Travis
283,894898c9593ffff,Travis
284,894898c9597ffff,Travis
285,894898c959bffff,Travis
286,894898c95bbffff,Travis
287,894898c95c3ffff,Travis
288,894898c95c7ffff,Travis
289,894898c95cbffff,Travis
290,894898c95cfffff,Travis
291,894898c95d3ffff,Travis
292,894898c95d7ffff,Travis
293,894898c95dbffff,Travis
294,894898c9603ffff,Travis
295,894898c9607ffff,Travis
296,894898c960bffff,Travis
297,894898c960fffff,Travis
298,894898c9617ffff,Travis
299,894898c961bffff,Travis
300,894898c9623ffff,Travis
301,894898c9627ffff,Travis
302,894898c962bffff,Travis
303,894898c962fffff,Travis
304,894898c9633ffff,Travis
305,894898c9637ffff,Travis
306,894898c963bffff,Travis
307,894898c9647ffff,Travis
308,894898c964fffff,Travis
309,894898c9657ffff,Travis
310,894898c9663ffff,Travis
311,894898c9667ffff,Travis
312,894898c966bffff,Travis
313,894898c966fffff,Travis
314,894898c9673ffff,Travis
315,894898c9677ffff,Travis
316,894898c967bffff,Travis
317,894898c9687ffff,Travis
318,894898c9693ffff,Travis
319,894898c96a3ffff,Travis
320,894898c96a7ffff,Travis
321,894898c96abffff,Travis
322,894898c96b3ffff,Travis
323,894898c96b7ffff,Travis
324,894898c96bbffff,Travis
325,894898c96cfffff,Travis
326,894898c9843ffff,Travis
327,894898c984bffff,Travis
328,894898c984fffff,Travis
329,894898c9853ffff,Travis
330,894898c9857ffff,Travis
331,894898c985bffff,Travis
332,894898c9893ffff,Travis
333,894898c98c3ffff,Travis
334,894898c98d3ffff,Travis
335,894898c98dbffff,Travis
336,894898c9a4bffff,Travis
337,894898c9a7bffff,Travis
338,894898c9a87ffff,Travis
339,894898c9a9bffff,Travis
340,894898c9ab3ffff,Travis
341,894898c9abbffff,Travis
342,894898c9ac3ffff,Travis
343,894898c9ad3ffff,Travis
344,894898c9ad7ffff,Travis
345,894898c9adbffff,Travis
346,894898c9c03ffff,Travis
347,894898c9c07ffff,Travis
348,894898c9c0bffff,Travis
349,894898c9c0fffff,Travis
350,894898c9c23ffff,Travis
351,894898c9c27ffff,Travis
352,894898c9c2bffff,Travis
353,894898c9c2fffff,Travis
354,894898c9c33ffff,Travis
355,894898c9c37ffff,Travis
356,894898c9c3bffff,Travis
357,894898c9c47ffff,Travis
358,894898c9c53ffff,Travis
359,894898c9c57ffff,Travis
360,894898c9c63ffff,Travis
361,894898c9c6bffff,Travis
362,894898c9c6fffff,Travis
363,894898c9c73ffff,Travis
364,894898c9c77ffff,Travis
365,894898c9c7bffff,Travis
366,894898c9ca3ffff,Travis
367,894898c9ca7ffff,Travis
368,894898c9cabffff,Travis
369,894898c9cafffff,Travis
370,894898c9cb3ffff,Travis
371,894898c9cb7ffff,Travis
372,894898c9cbbffff,Travis
373,894898c9cdbffff,Travis
374,894898c9dcbffff,Travis
375,894898c9ddbffff,Travis
376,894898c9e03ffff,Travis
377,894898c9e0bffff,Travis
378,894898c9e0fffff,Travis
379,894898c9e13ffff,Travis
380,894898c9e17ffff,Travis
381,894898c9e1bffff,Travis
382,894898c9e37ffff,Travis
383,894898c9e43ffff,Travis
384,894898c9e47ffff,Travis
385,894898c9e4bffff,Travis
386,894898c9e4fffff,Travis
387,894898c9e53ffff,Travis
388,894898c9e57ffff,Travis
389,894898c9e5bffff,Travis
390,894898c9e63ffff,Travis
391,894898c9e6bffff,Travis
392,894898c9e6fffff,Travis
393,894898c9e73ffff,Travis
394,894898c9e77ffff,Travis
395,894898c9e7bffff,Travis
396,894898c9e8bffff,Travis
397,894898c9e8fffff,Travis
398,894898c9ea7ffff,Travis
399,894898c9eabffff,Travis
400,894898c9ec3ffff,Travis
401,894898c9ec7ffff,Travis
402,894898c9ecbffff,Travis
403,894898c9ecfffff,Travis
404,894898c9ed3ffff,Travis
405,894898c9ed7ffff,Travis
406,894898c9edbffff,Travis
407,894898ca203ffff,Travis
408,894898ca207ffff,Travis
409,894898ca20bffff,Travis
410,894898ca20fffff,Travis
411,894898ca213ffff,Travis
412,894898ca21bffff,Travis
413,894898ca223ffff,Travis
414,894898ca22bffff,Travis
