hex_id,h3_index,effective_start_date,effective_end_date,jp_district,boundary_vintage,assignment_method,assignment_status,boundary_source_url
2112,89489e2402fffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2120,89489e24067ffff,2012-01-01,2021-12-31,,2012-2021,hex_point_on_surface,outside_official_precinct_geometry,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2121,89489e2406fffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2132,89489e240a7ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2136,89489e240b7ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2145,89489e24107ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2146,89489e24113ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2147,89489e24117ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2148,89489e24123ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2149,89489e24127ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
