cluster_2025,cluster_2026_fixed,hexes,baseline_cluster_hexes,row_share
C1,C1,27,86,0.313953488372093
C1,C2,17,86,0.19767441860465115
C1,C3,16,86,0.18604651162790697
C1,C4,6,86,0.06976744186046512
C1,C5,2,86,0.023255813953488372
C1,C6,13,86,0.1511627906976744
C1,C7,5,86,0.05813953488372093
C2,C1,17,290,0.05862068965517241
C2,C2,223,290,0.7689655172413793
C2,C3,7,290,0.02413793103448276
C2,C4,2,290,0.006896551724137931
C2,C5,5,290,0.017241379310344827
C2,C6,14,290,0.04827586206896552
C2,C7,22,290,0.07586206896551724
C3,C1,11,820,0.013414634146341463
C3,C2,4,820,0.004878048780487805
C3,C3,570,820,0.6951219512195121
C3,C4,82,820,0.1
C3,C5,43,820,0.0524390243902439
C3,C6,86,820,0.1048780487804878
C3,C7,24,820,0.02926829268292683
C4,C1,3,559,0.005366726296958855
C4,C2,2,559,0.0035778175313059034
C4,C3,64,559,0.11449016100178891
C4,C4,411,559,0.7352415026833632
C4,C5,40,559,0.07155635062611806
C4,C6,24,559,0.04293381037567084
C4,C7,15,559,0.026833631484794274
C5,C1,2,236,0.00847457627118644
C5,C2,6,236,0.025423728813559324
C5,C3,36,236,0.15254237288135594
C5,C4,21,236,0.08898305084745763
C5,C5,148,236,0.6271186440677966
C5,C6,15,236,0.0635593220338983
C5,C7,8,236,0.03389830508474576
C6,C1,8,191,0.041884816753926704
C6,C2,4,191,0.020942408376963352
C6,C3,46,191,0.24083769633507854
C6,C4,14,191,0.07329842931937172
C6,C5,30,191,0.15706806282722513
C6,C6,80,191,0.418848167539267
C6,C7,9,191,0.04712041884816754
C7,C1,7,169,0.04142011834319527
C7,C2,16,169,0.09467455621301775
C7,C3,41,169,0.24260355029585798
C7,C4,7,169,0.04142011834319527
C7,C5,14,169,0.08284023668639054
C7,C6,14,169,0.08284023668639054
C7,C7,70,169,0.41420118343195267
